trial,time_ms,pressure_kpa,distance_mm
2,200,1.99,12.51
2,220,1.939,12.69
2,240,1.934,12.52
2,260,1.914,11.95
2,280,1.886,12.0
2,300,1.872,11.57
2,320,1.868,11.74
2,340,1.831,11.64
2,360,1.833,11.6
2,380,1.837,11.27
2,400,1.857,11.4
2,420,1.821,11.01
2,440,1.873,11.05
2,460,1.847,10.96
2,480,1.855,11.1
2,500,1.84,10.57
2,520,1.818,10.88
2,540,1.792,10.69
2,560,1.84,10.95
2,580,1.816,10.7
2,600,1.825,10.72
2,620,1.84,10.74
2,640,1.829,10.55
2,660,1.896,10.57
2,680,1.78,10.76
2,700,1.781,10.59
2,720,1.808,10.74
2,740,1.798,10.75
2,760,1.782,10.85
2,780,1.834,10.72
2,800,1.84,10.68
2,820,1.759,10.53
2,840,1.813,10.53
2,860,1.808,10.68
2,880,1.771,10.45
2,900,1.821,10.76
2,920,1.875,10.91
2,940,1.841,10.71
2,960,1.776,10.57
2,980,1.86,10.9
2,1000,1.797,10.59
2,1020,1.82,10.76
2,1040,1.803,10.47
2,1060,1.821,10.76
2,1080,1.78,10.99
2,1100,1.82,10.76
2,1120,1.773,10.53
2,1140,1.844,10.5
2,1160,1.756,10.9
2,1180,1.745,10.62
2,1200,1.831,10.63
2,1220,1.795,10.65
2,1240,1.823,10.54
2,1260,1.789,10.85
2,1280,1.837,10.43
2,1300,1.791,10.61
2,1320,1.852,10.74
2,1340,1.819,10.59
2,1360,1.817,10.52
2,1380,1.8,10.74
2,1400,1.758,10.75
2,1420,1.857,10.65
2,1440,1.828,10.52
2,1460,1.835,10.85
2,1480,1.842,10.51
3,0,2.918,9.39
3,20,2.638,8.95
3,40,2.424,8.88
3,60,2.193,8.59
3,80,2.028,8.41
3,100,1.909,8.61
3,120,1.79,9.06
3,140,1.672,9.03
3,160,1.625,9.12
3,180,1.612,9.47
3,200,1.569,9.25
3,220,1.468,9.48
3,240,1.501,9.32
3,260,1.467,9.25
3,280,1.444,9.36
3,300,1.446,9.08
3,320,1.339,9.25
3,340,1.369,9.3
3,360,1.376,9.39
3,380,1.4,9.36
3,400,1.341,9.2
3,420,1.364,9.24
3,440,1.386,9.44
3,460,1.318,9.61
3,480,1.358,9.43
3,500,1.34,9.19
3,520,1.39,9.26
3,540,1.296,9.4
3,560,1.359,9.41
3,580,1.342,9.51
3,600,1.347,9.11
3,620,1.35,9.54
3,640,1.322,9.33
3,660,1.303,9.34
3,680,1.379,9.41
3,700,1.337,9.65
3,720,1.321,9.41
3,740,1.343,9.31
3,760,1.325,9.57
3,780,1.341,9.51
3,800,1.307,9.49
3,820,1.292,9.47
3,840,1.331,9.6
3,860,1.314,9.7
3,880,1.303,9.22
3,900,1.332,9.12
3,920,1.315,9.09
3,940,1.3,9.39
3,960,1.356,9.39
3,980,1.295,9.23
3,1000,1.328,9.19
3,1020,1.346,9.39
3,1040,1.357,9.37
3,1060,1.367,9.32
3,1080,1.35,9.47
3,1100,1.289,9.32
3,1120,1.346,9.54
3,1140,1.325,9.25
3,1160,1.364,9.44
3,1180,1.311,9.56
3,1200,1.278,9.3
3,1220,1.304,9.41
3,1240,1.335,9.54
3,1260,1.275,9.4
3,1280,1.325,9.55
3,1300,1.296,9.39
3,1320,1.321,9.31
3,1340,1.365,9.43
3,1360,1.338,9.53
3,1380,1.306,9.33
3,1400,1.363,9.48
3,1420,1.364,9.54
3,1440,1.339,9.55
3,1460,1.331,9.37
3,1480,1.321,9.35
4,0,3.024,8.24
4,20,2.706,7.82
4,40,2.465,7.59
4,60,2.297,7.95
4,80,2.134,7.38
4,100,1.998,7.18
4,120,1.905,7.01
4,140,1.783,6.78
4,160,1.785,6.44
4,180,1.744,6.47
4,200,1.656,5.85
4,220,1.644,5.59
4,240,1.573,5.73
4,260,1.542,5.28
4,280,1.576,4.95
4,300,1.505,5.55
4,320,1.493,5.83
4,340,1.491,6.09
4,360,1.458,6.02
4,380,1.528,6.5
4,400,1.518,6.62
4,420,1.42,6.96
4,440,1.463,6.99
4,460,1.454,6.96
4,480,1.478,7.5
4,500,1.46,7.57
4,520,1.458,7.36
4,540,1.502,7.4
4,560,1.457,7.6
4,580,1.485,7.83
4,600,1.418,7.69
4,620,1.426,8.1
4,640,1.462,7.65
4,660,1.435,7.85
4,680,1.519,8.01
4,700,1.481,8.01
4,720,1.41,8.07
4,740,1.425,8.03
4,760,1.449,7.99
4,780,1.45,8.0
4,800,1.472,8.15
4,820,1.413,7.92
4,840,1.435,8.02
4,860,1.469,8.24
4,880,1.469,8.06
4,900,1.482,8.24
4,920,1.416,8.2
4,940,1.45,8.37
4,960,1.46,8.16
4,980,1.423,8.18
4,1000,1.439,8.13
4,1020,1.447,8.46
4,1040,1.474,8.17
4,1060,1.468,8.24
4,1080,1.422,8.26
4,1100,1.374,8.27
4,1120,1.429,8.25
4,1140,1.423,8.28
4,1160,1.42,8.08
4,1180,1.399,7.95
4,1200,1.426,8.36
4,1220,1.467,8.21
4,1240,1.432,8.28
4,1260,1.45,8.35
4,1280,1.517,8.21
4,1300,1.409,8.14
4,1320,1.45,8.32
4,1340,1.481,8.27
4,1360,1.513,8.09
4,1380,1.507,8.3
4,1400,1.455,8.35
4,1420,1.45,8.11
4,1440,1.432,8.27
4,1460,1.38,8.44
4,1480,1.459,8.4
5,0,2.915,9.08
5,20,2.815,8.47
5,40,2.573,8.1
5,60,2.458,8.14
5,80,2.392,7.84
5,100,2.271,7.59
5,120,2.18,7.3
5,140,2.128,6.85
5,160,2.085,6.76
5,180,1.977,6.47
5,200,2.0,6.07
5,220,1.935,6.27
5,240,1.904,5.63
5,260,1.904,5.68
5,280,1.889,5.08
5,300,1.858,5.27
5,320,1.886,5.01
5,340,1.916,5.22
5,360,1.852,5.53
5,380,1.889,6.11
5,400,1.784,6.12
5,420,1.848,6.3
5,440,1.849,6.74
5,460,1.854,6.78
5,480,1.854,7.09
5,500,1.825,7.53
5,520,1.804,7.07
5,540,1.836,7.76
5,560,1.844,7.65
5,580,1.801,7.77
5,600,1.779,7.67
5,620,1.869,8.04
5,640,1.807,7.92
5,660,1.848,8.23
5,680,1.871,8.07
5,700,1.811,8.32
5,720,1.809,8.25
5,740,1.813,8.6
5,760,1.821,8.23
5,780,1.856,8.37
5,800,1.826,8.61
5,820,1.823,8.05
5,840,1.8,8.42
5,860,1.841,8.46
5,880,1.87,8.41
5,900,1.795,8.41
5,920,1.867,8.66
5,940,1.817,8.77
5,960,1.817,8.62
5,980,1.824,8.86
5,1000,1.849,8.68
5,1020,1.819,8.5
5,1040,1.883,9.08
5,1060,1.814,8.84
5,1080,1.869,8.92
5,1100,1.831,8.48
5,1120,1.83,8.61
5,1140,1.759,8.95
5,1160,1.869,8.75
5,1180,1.876,8.49
5,1200,1.828,8.44
5,1220,1.813,8.83
5,1240,1.801,8.79
5,1260,1.817,8.92
5,1280,1.809,8.81
5,1300,1.869,8.7
5,1320,1.831,8.94
5,1340,1.861,8.88
5,1360,1.862,8.66
5,1380,1.822,8.61
5,1400,1.848,8.73
5,1420,1.794,8.71
5,1440,1.883,8.8
5,1460,1.844,9.02
5,1480,1.778,8.7
6,0,3.134,8.06
6,20,3.01,7.95
6,40,2.881,7.77
6,60,2.735,7.37
6,80,2.586,7.34
6,100,2.594,7.08
6,120,2.552,6.62
6,140,2.468,6.37
6,160,2.46,6.1
6,180,2.372,5.62
6,200,2.316,5.55
6,220,2.341,5.37
6,240,2.305,5.7
6,260,2.283,5.98
6,280,2.306,6.26
6,300,2.276,6.7
6,320,2.262,6.6
6,340,2.29,6.84
6,360,2.268,7.04
6,380,2.268,7.16
6,400,2.264,7.03
6,420,2.276,7.03
6,440,2.266,7.35
6,460,2.229,7.26
6,480,2.214,7.37
6,500,2.234,7.4
6,520,2.218,7.44
6,540,2.187,7.43
6,560,2.247,7.51
6,580,2.238,7.61
6,600,2.211,8.12
6,620,2.313,7.61
6,640,2.209,7.69
6,660,2.349,7.58
6,680,2.228,7.83
6,700,2.258,7.7
6,720,2.284,7.75
6,740,2.247,8.11
6,760,2.241,7.83
6,780,2.2,8.03
6,800,2.228,8.19
6,820,2.182,7.86
6,840,2.209,8.09
6,860,2.292,7.92
6,880,2.258,7.91
6,900,2.289,7.89
6,920,2.193,7.92
6,940,2.249,7.95
6,960,2.232,7.88
6,980,2.231,7.92
6,1000,2.25,7.86
6,1020,2.224,8.03
6,1040,2.249,7.83
6,1060,2.179,7.99
6,1080,2.265,7.8
6,1100,2.256,7.91
6,1120,2.201,8.23
6,1140,2.233,8.04
6,1160,2.199,8.11
6,1180,2.241,7.87
6,1200,2.217,7.93
6,1220,2.198,7.82
6,1240,2.273,7.69
6,1260,2.234,7.87
6,1280,2.253,7.83
6,1300,2.259,8.03
6,1320,2.215,7.93
6,1340,2.268,7.77
6,1360,2.271,7.77
6,1380,2.246,7.72
6,1400,2.229,8.05
6,1420,2.211,7.76
6,1440,2.213,7.82
6,1460,2.197,7.86
6,1480,2.245,7.96
7,0,2.952,6.41
7,20,2.758,6.3
7,40,2.543,6.76
7,60,2.425,6.96
7,80,2.315,6.86
7,100,2.318,6.82
7,120,2.232,6.7
7,140,2.169,6.54
7,160,2.088,6.58
7,180,2.026,6.54
7,200,2.027,6.43
7,220,1.977,6.64
7,240,1.958,6.28
7,260,1.993,6.28
7,280,1.935,6.27
7,300,2.002,5.99
7,320,1.895,6.23
7,340,1.873,6.29
7,360,1.871,5.96
7,380,1.946,6.22
7,400,1.851,6.24
7,420,1.971,6.12
7,440,1.88,6.37
7,460,1.867,6.21
7,480,1.867,6.24
7,500,1.918,6.02
7,520,1.873,6.16
7,540,1.89,6.18
7,560,1.881,6.12
7,580,1.886,6.34
7,600,1.903,6.06
7,620,1.878,6.08
7,640,1.84,6.0
7,660,1.847,6.37
7,680,1.912,6.12
7,700,1.892,6.72
7,720,1.845,6.28
7,740,1.9,6.37
7,760,1.893,5.88
7,780,1.886,6.15
7,800,1.9,6.33
7,820,1.846,5.98
7,840,1.898,6.04
7,860,1.904,6.14
7,880,1.893,5.94
7,900,1.899,6.35
7,920,1.843,6.32
7,940,1.846,6.29
7,960,1.85,6.3
7,980,1.843,6.26
7,1000,1.844,6.17
7,1020,1.891,6.14
7,1040,1.857,6.4
7,1060,1.872,6.12
7,1080,1.886,6.32
7,1100,1.841,6.18
7,1120,1.877,6.22
7,1140,1.859,6.37
7,1160,1.843,6.11
7,1180,1.819,6.44
7,1200,1.901,5.89
7,1220,1.878,6.3
7,1240,1.883,6.16
7,1260,1.869,6.1
7,1280,1.876,5.9
7,1300,1.901,6.07
7,1320,1.886,6.28
7,1340,1.901,6.21
7,1360,1.851,5.95
7,1380,1.839,6.02
7,1400,1.855,5.99
7,1420,1.831,6.06
7,1440,1.874,6.3
7,1460,1.802,6.21
7,1480,1.885,6.13
8,0,2.901,6.6
8,20,2.677,7.05
8,40,2.538,7.07
8,60,2.29,7.24
8,80,2.245,7.63
8,100,2.107,7.44
8,120,2.033,7.14
8,140,1.936,7.09
8,160,1.935,7.18
8,180,1.868,7.04
8,200,1.783,6.94
8,220,1.784,6.86
8,240,1.849,7.03
8,260,1.751,7.01
8,280,1.71,7.13
8,300,1.689,6.87
8,320,1.727,6.97
8,340,1.701,6.75
8,360,1.682,6.7
8,380,1.664,6.59
8,400,1.7,6.69
8,420,1.639,6.77
8,440,1.671,6.71
8,460,1.695,6.7
8,480,1.687,6.58
8,500,1.691,6.71
8,520,1.656,6.83
8,540,1.648,6.9
8,560,1.631,6.68
8,580,1.662,6.67
8,600,1.668,6.59
8,620,1.684,7.0
8,640,1.634,6.72
8,660,1.643,6.74
8,680,1.627,6.6
8,700,1.703,6.81
8,720,1.715,6.5
8,740,1.64,6.67
8,760,1.668,6.81
8,780,1.669,6.76
8,800,1.642,6.72
8,820,1.641,6.92
8,840,1.662,6.53
8,860,1.632,6.52
8,880,1.624,6.88
8,900,1.651,6.85
8,920,1.649,6.85
8,940,1.666,6.56
8,960,1.614,6.54
8,980,1.638,6.6
8,1000,1.668,6.87
8,1020,1.66,6.86
8,1040,1.695,6.67
8,1060,1.651,6.78
8,1080,1.637,6.59
8,1100,1.617,6.39
8,1120,1.644,6.71
8,1140,1.632,6.88
8,1160,1.691,6.79
8,1180,1.653,6.34
8,1200,1.67,6.46
8,1220,1.58,6.94
8,1240,1.675,6.9
8,1260,1.665,6.94
8,1280,1.651,6.9
8,1300,1.635,6.61
8,1320,1.638,6.85
8,1340,1.608,6.75
8,1360,1.667,6.92
8,1380,1.676,6.65
8,1400,1.643,6.58
8,1420,1.712,6.71
8,1440,1.644,6.92
8,1460,1.663,6.75
8,1480,1.596,6.54
9,0,2.89,7.62
9,20,2.694,7.65
9,40,2.534,8.0
9,60,2.439,8.03
9,80,2.35,8.35
9,100,2.261,8.65
9,120,2.244,9.02
9,140,2.115,9.06
9,160,2.073,9.44
9,180,2.012,9.67
9,200,1.934,9.9
9,220,1.958,9.65
9,240,1.985,9.1
9,260,1.945,9.02
9,280,1.957,8.81
9,300,1.842,8.49
9,320,1.914,8.37
9,340,1.902,7.96
9,360,1.904,8.05
9,380,1.915,7.89
9,400,1.873,7.7
9,420,1.909,7.71
9,440,1.866,7.48
9,460,1.906,7.48
9,480,1.847,7.86
9,500,1.878,7.64
9,520,1.834,7.26
9,540,1.797,7.74
9,560,1.863,7.69
9,580,1.798,7.41
9,600,1.84,7.53
9,620,1.796,7.75
9,640,1.893,7.52
9,660,1.907,7.53
9,680,1.868,7.67
9,700,1.836,7.67
9,720,1.851,7.43
9,740,1.844,7.61
9,760,1.842,7.45
9,780,1.841,7.7
9,800,1.854,7.9
9,820,1.805,7.67
9,840,1.826,7.58
9,860,1.897,7.49
9,880,1.826,7.53
9,900,1.81,7.51
9,920,1.842,7.61
9,940,1.899,7.54
9,960,1.827,7.32
9,980,1.839,7.48
9,1000,1.866,7.52
9,1020,1.851,7.7
9,1040,1.81,7.6
9,1060,1.883,7.8
9,1080,1.838,7.53
9,1100,1.839,7.44
9,1120,1.866,7.65
9,1140,1.827,7.47
9,1160,1.864,7.36
9,1180,1.883,7.9
9,1200,1.857,7.72
9,1220,1.837,7.1
9,1240,1.832,7.41
9,1260,1.849,7.34
9,1280,1.839,7.67
9,1300,1.847,7.81
9,1320,1.882,7.41
9,1340,1.804,7.37
9,1360,1.815,7.54
9,1380,1.852,7.73
9,1400,1.824,7.59
9,1420,1.809,7.58
9,1440,1.802,7.48
9,1460,1.831,7.57
9,1480,1.809,7.58
10,0,2.998,7.36
10,20,2.697,7.21
10,40,2.521,6.78
10,60,2.267,6.78
10,80,2.149,6.53
10,100,1.967,6.36
10,120,1.874,6.02
10,140,1.8,5.82
10,160,1.736,5.04
10,180,1.67,4.86
10,200,1.617,4.86
10,220,1.556,4.38
10,240,1.55,4.22
10,260,1.553,4.55
10,280,1.548,4.67
10,300,1.513,4.88
10,320,1.485,5.35
10,340,1.446,5.74
10,360,1.457,5.99
10,380,1.44,6.43
10,400,1.462,6.43
10,420,1.478,6.22
10,440,1.366,6.37
10,460,1.461,6.77
10,480,1.419,6.75
10,500,1.445,7.07
10,520,1.444,6.82
10,540,1.404,6.8
10,560,1.353,6.88
10,580,1.455,6.92
10,600,1.401,6.98
10,620,1.443,7.01
10,640,1.431,7.22
10,660,1.38,7.23
10,680,1.44,7.13
10,700,1.438,7.29
10,720,1.448,6.85
10,740,1.479,7.26
10,760,1.415,7.28
10,780,1.388,7.47
10,800,1.394,7.51
10,820,1.438,7.58
10,840,1.392,7.48
10,860,1.423,7.38
10,880,1.397,7.11
10,900,1.375,7.56
10,920,1.395,7.62
10,940,1.379,7.48
10,960,1.427,7.51
10,980,1.454,7.61
10,1000,1.42,7.63
10,1020,1.453,7.26
10,1040,1.4,7.25
10,1060,1.427,7.56
10,1080,1.413,7.69
10,1100,1.405,7.2
10,1120,1.403,7.48
10,1140,1.406,7.67
10,1160,1.427,7.24
10,1180,1.464,7.29
10,1200,1.371,7.5
10,1220,1.484,7.62
10,1240,1.44,7.16
10,1260,1.419,7.54
10,1280,1.428,7.52
10,1300,1.456,7.36
10,1320,1.472,7.26
10,1340,1.378,7.69
10,1360,1.456,7.46
10,1380,1.408,7.39
10,1400,1.448,7.41
10,1420,1.413,7.37
10,1440,1.407,7.55
10,1460,1.373,7.34
10,1480,1.378,7.24
11,0,3.067,8.63
11,20,2.79,8.19
11,40,2.652,7.89
11,60,2.413,7.3
11,80,2.244,7.1
11,100,2.156,6.78
11,120,2.07,6.15
11,140,2.02,5.96
11,160,1.961,5.39
11,180,1.806,5.03
11,200,1.821,4.72
11,220,1.816,4.1
11,240,1.791,4.58
11,260,1.759,5.23
11,280,1.732,5.85
11,300,1.73,6.02
11,320,1.749,6.55
11,340,1.701,6.94
11,360,1.658,7.03
11,380,1.628,7.4
11,400,1.654,7.41
11,420,1.659,7.75
11,440,1.637,8.08
11,460,1.642,8.14
11,480,1.651,8.12
11,500,1.643,7.93
11,520,1.612,8.23
11,540,1.625,8.11
11,560,1.663,8.17
11,580,1.586,8.47
11,600,1.658,8.45
11,620,1.626,8.5
11,640,1.63,8.56
11,660,1.632,8.39
11,680,1.722,8.59
11,700,1.619,8.66
11,720,1.628,8.86
11,740,1.606,8.76
11,760,1.614,8.97
11,780,1.666,8.81
11,800,1.632,8.71
11,820,1.653,8.86
11,840,1.638,8.61
11,860,1.61,8.64
11,880,1.668,8.69
11,900,1.71,9.03
11,920,1.607,8.79
11,940,1.68,8.65
11,960,1.622,8.57
11,980,1.684,8.72
11,1000,1.665,8.65
11,1020,1.627,9.0
11,1040,1.586,8.88
11,1060,1.625,8.8
11,1080,1.644,8.42
11,1100,1.581,8.87
11,1120,1.609,8.6
11,1140,1.623,8.73
11,1160,1.602,8.67
11,1180,1.618,8.86
11,1200,1.625,8.8
11,1220,1.627,8.88
11,1240,1.635,8.95
11,1260,1.669,8.95
11,1280,1.659,8.6
11,1300,1.603,9.08
11,1320,1.621,8.81
11,1340,1.647,8.88
11,1360,1.671,8.72
11,1380,1.628,8.69
11,1400,1.69,8.97
11,1420,1.655,8.74
11,1440,1.584,8.85
11,1460,1.596,8.67
11,1480,1.619,8.74
12,0,3.049,7.17
12,20,2.839,6.76
12,40,2.612,6.89
12,60,2.504,6.35
12,80,2.313,5.81
12,100,2.236,5.73
12,120,2.112,5.57
12,140,2.073,5.64
12,160,2.025,5.3
12,180,1.902,5.05
12,200,1.957,5.49
12,220,1.907,5.6
12,240,1.855,5.8
12,260,1.797,5.97
12,280,1.821,6.42
12,300,1.807,6.26
12,320,1.789,6.46
12,340,1.771,6.23
12,360,1.814,6.79
12,380,1.746,6.71
12,400,1.692,6.51
12,420,1.745,6.54
12,440,1.71,6.81
12,460,1.741,6.84
12,480,1.685,6.92
12,500,1.775,6.96
12,520,1.718,6.99
12,540,1.709,7.14
12,560,1.663,7.21
12,580,1.734,7.33
12,600,1.702,7.09
12,620,1.659,7.09
12,640,1.728,7.09
12,660,1.758,7.06
12,680,1.707,7.25
12,700,1.731,6.94
12,720,1.709,6.84
12,740,1.745,7.28
12,760,1.772,7.13
12,780,1.76,7.06
12,800,1.68,7.04
12,820,1.72,7.32
12,840,1.761,7.13
12,860,1.756,7.27
12,880,1.694,7.1
12,900,1.729,7.09
12,920,1.725,7.15
12,940,1.714,7.38
12,960,1.716,7.23
12,980,1.739,7.09
12,1000,1.744,7.2
12,1020,1.698,7.05
12,1040,1.746,7.21
12,1060,1.762,7.24
12,1080,1.721,7.14
12,1100,1.655,7.09
12,1120,1.684,7.42
12,1140,1.678,7.15
12,1160,1.707,7.36
12,1180,1.792,7.3
12,1200,1.722,7.06
12,1220,1.715,7.37
12,1240,1.654,7.13
12,1260,1.664,7.24
12,1280,1.672,7.35
12,1300,1.681,7.14
12,1320,1.682,7.27
12,1340,1.712,7.09
12,1360,1.71,7.29
12,1380,1.66,7.38
12,1400,1.753,7.29
12,1420,1.768,7.38
12,1440,1.734,7.02
12,1460,1.683,7.2
12,1480,1.698,7.36
13,0,3.055,6.39
13,20,2.863,6.19
13,40,2.721,6.03
13,60,2.544,5.64
13,80,2.499,5.8
13,100,2.387,5.48
13,120,2.339,5.09
13,140,2.296,5.06
13,160,2.14,4.68
13,180,2.223,4.31
13,200,2.168,4.4
13,220,2.13,4.87
13,240,2.087,5.38
13,260,2.127,5.43
13,280,2.133,5.7
13,300,2.067,5.41
13,320,2.04,5.85
13,340,1.957,5.67
13,360,2.045,5.5
13,380,2.042,5.67
13,400,2.058,5.88
13,420,2.037,5.96
13,440,1.982,6.14
13,460,2.025,6.21
13,480,1.967,5.76
13,500,1.998,6.14
13,520,2.028,6.27
13,540,2.025,5.9
13,560,1.993,6.21
13,580,2.017,6.3
13,600,1.995,5.92
13,620,1.991,6.19
13,640,2.006,6.3
13,660,1.987,6.37
13,680,1.982,5.98
13,700,1.986,6.27
13,720,1.945,6.54
13,740,2.002,6.08
13,760,2.044,6.21
13,780,1.979,6.04
13,800,2.046,6.35
13,820,2.002,6.21
13,840,2.041,6.13
13,860,2.03,6.12
13,880,1.976,6.21
13,900,2.024,6.23
13,920,2.0,6.16
13,940,2.064,6.31
13,960,2.032,6.37
13,980,2.016,6.41
13,1000,2.024,6.11
13,1020,2.02,6.18
13,1040,2.016,6.24
13,1060,2.014,6.14
13,1080,1.993,6.0
13,1100,2.015,6.41
13,1120,2.0,6.24
13,1140,2.029,6.52
13,1160,1.982,6.08
13,1180,2.025,6.3
13,1200,1.991,6.38
13,1220,1.994,6.36
13,1240,2.051,6.37
13,1260,1.955,6.27
13,1280,1.982,6.48
13,1300,1.976,6.23
13,1320,2.032,6.29
13,1340,2.038,6.24
13,1360,1.985,6.2
13,1380,2.053,6.08
13,1400,2.017,6.01
13,1420,1.955,6.23
13,1440,2.024,6.23
13,1460,2.014,6.26
13,1480,1.968,6.44
14,0,2.935,5.87
14,20,2.703,5.72
14,40,2.524,5.76
14,60,2.345,5.83
14,80,2.283,5.41
14,100,2.27,5.51
14,120,2.194,5.45
14,140,2.099,5.1
14,160,2.035,5.31
14,180,2.011,5.63
14,200,1.916,5.86
14,220,1.905,5.59
14,240,1.959,5.52
14,260,1.958,5.83
14,280,1.899,6.02
14,300,1.915,5.73
14,320,1.839,5.8
14,340,1.871,5.75
14,360,1.862,6.13
14,380,1.858,6.15
14,400,1.933,5.91
14,420,1.854,6.26
14,440,1.797,5.88
14,460,1.835,6.07
14,480,1.85,6.09
14,500,1.873,6.1
14,520,1.816,6.08
14,540,1.854,5.93
14,560,1.857,5.89
14,580,1.834,6.16
14,600,1.781,5.94
14,620,1.785,5.89
14,640,1.82,6.07
14,660,1.859,5.93
14,680,1.834,6.09
14,700,1.864,6.15
14,720,1.854,5.83
14,740,1.809,5.8
14,760,1.853,6.22
14,780,1.838,6.17
14,800,1.786,6.29
14,820,1.834,6.03
14,840,1.863,6.38
14,860,1.809,6.23
14,880,1.846,6.42
14,900,1.902,5.93
14,920,1.806,5.86
14,940,1.803,6.04
14,960,1.84,6.16
14,980,1.889,6.1
14,1000,1.873,5.83
14,1020,1.876,5.96
14,1040,1.901,6.37
14,1060,1.797,6.05
14,1080,1.83,6.13
14,1100,1.854,5.82
14,1120,1.875,5.94
14,1140,1.823,6.23
14,1160,1.825,6.09
14,1180,1.925,6.01
14,1200,1.833,5.94
14,1220,1.82,6.23
14,1240,1.792,5.99
14,1260,1.853,6.26
14,1280,1.787,6.15
14,1300,1.84,6.16
14,1320,1.791,6.03
14,1340,1.806,6.07
14,1360,1.834,6.09
14,1380,1.858,6.03
14,1400,1.848,6.07
14,1420,1.862,6.14
14,1440,1.821,5.94
14,1460,1.836,6.22
14,1480,1.854,6.25
15,0,3.066,7.73
15,20,2.835,7.64
15,40,2.677,8.17
15,60,2.521,8.34
15,80,2.401,8.66
15,100,2.329,8.76
15,120,2.251,8.85
15,140,2.093,9.3
15,160,2.05,9.45
15,180,2.029,9.53
15,200,2.024,9.01
15,220,1.999,8.78
15,240,1.945,8.65
15,260,1.874,8.72
15,280,1.882,8.37
15,300,1.854,8.17
15,320,1.873,8.15
15,340,1.877,8.05
15,360,1.812,8.05
15,380,1.837,8.26
15,400,1.864,7.89
15,420,1.811,7.93
15,440,1.827,7.95
15,460,1.832,7.92
15,480,1.823,7.8
15,500,1.757,7.72
15,520,1.879,7.82
15,540,1.816,7.76
15,560,1.781,7.87
15,580,1.809,7.66
15,600,1.845,7.65
15,620,1.848,7.77
15,640,1.845,7.55
15,660,1.799,7.5
15,680,1.807,7.33
15,700,1.798,7.76
15,720,1.839,8.03
15,740,1.768,7.56
15,760,1.783,7.36
15,780,1.835,7.73
15,800,1.805,7.59
15,820,1.795,7.49
15,840,1.786,7.5
15,860,1.814,7.76
15,880,1.806,7.65
15,900,1.832,7.71
15,920,1.782,7.62
15,940,1.8,7.59
15,960,1.844,7.51
15,980,1.778,7.53
15,1000,1.905,7.93
15,1020,1.823,7.5
15,1040,1.814,7.68
15,1060,1.777,7.74
15,1080,1.842,7.54
15,1100,1.784,7.66
15,1120,1.831,7.58
15,1140,1.787,7.59
15,1160,1.824,7.66
15,1180,1.814,7.61
15,1200,1.832,7.58
15,1220,1.754,7.73
15,1240,1.784,7.61
15,1260,1.811,7.5
15,1280,1.835,7.47
15,1300,1.779,7.68
15,1320,1.86,7.71
15,1340,1.85,7.43
15,1360,1.798,7.74
15,1380,1.821,7.61
15,1400,1.843,7.65
15,1420,1.769,7.55
15,1440,1.795,7.38
15,1460,1.813,7.48
15,1480,1.834,7.65
16,0,3.081,9.19
16,20,2.766,9.05
16,40,2.591,9.12
16,60,2.452,9.0
16,80,2.345,9.0
16,100,2.249,8.82
